image number;Distance (R);Z score-3 (R);Z score-5 (R);Z score-7 (R);Probability (R);Distance (L);Z score-3 (L);Z score-5 (L);Z score-7 (L);Probability (L);Orientation;Z score-3 (F);Z score-5 (F);Z score-7 (F);Probability (F)
1100;0.74300003;1.414213562373095;2.0;2.449489742783178;4;0;0;0;0;0;0;0;0;0;0
1101;0.75900006;0.7295799393366903;1.2463713090764812;1.6045916571500862;4;0;0;0;0;0;0;0;0;0;0
1102;0.79300004;1.3430116;0.8903824106974785;1.2278640168484496;4;0;0;0;0;0;0;0;0;0;0
1103;0.82900006;1.2362431;0.650737856394308;0.9881530247450228;4;0;0;0;0;0;0;0;0;0;0
1104;0.82900006;0.70710444;1.0888019;0.737407829107209;4;0;0;0;0;0;0;0;0;0;0
1105;0.82600003;-1.4142275;0.6793768;0.5106909580951979;4;0;0;0;0;0;0;0;0;0;0
1106;0.72900003;-1.4137219;-1.8715968;-1.448444;4;0;0;0;0;0;0;0;0;0;0
1107;0.95900005;1.2834146;1.7030758;2.082709;4;0;0;0;0;0;0;0;0;0;0
1108;0.827;-0.120262414;-0.09563371;-0.006753947;4;0;0;0;0;0;0;0;0;0;0
1109;0.82900006;-0.6908531;-0.068310834;-0.057694472;4;0;0;0;0;0;0;0;0;0;0
1110;0.791;-1.4126655;-0.47827718;-0.56810236;4;0;0;0;0;0;0;0;0;0;0
1111;0.76100004;-1.1740086;-1.0703881;-0.83402085;4;0;0;0;0;0;0;0;0;0;0
1112;0.75900006;-0.7743266;-1.1298176;-0.69349575;4;0;0;0;0;0;0;0;0;0;0
1113;0.86600006;1.4140248;1.5741519;0.5969623;4;0;0;0;0;0;0;0;0;0;0
1114;0.791;-0.31963488;-0.06706261;-0.34268463;4;0;0;0;0;0;0;0;0;0;0
1115;0.79300004;-0.6782564;-0.025805797;-0.15899163;4;0;0;0;0;0;0;0;0;0;0
1116;0.79300004;0.70710677;-0.20988636;-0.01307713;4;0;0;0;0;0;0;0;0;0;0
1117;0.846;1.414212;0.8858633;1.1925197;4;0;0;0;0;0;0;0;0;0;0
1118;0.73;-1.2583804;-1.6489319;-1.541778;4;0;0;0;0;0;0;0;0;0;0
1119;0.88900006;1.002682;1.4625334;1.458742;4;0;0;0;0;0;0;0;0;0;0
1120;0.76000005;-0.4784114;-0.7584908;-0.8244061;4;0;0;0;0;0;0;0;0;0;0
1121;0.726;-0.9352788;-0.9782945;-1.1716533;4;0;0;0;0;0;0;0;0;0;0
1122;0.73;-0.5711884;-0.59473526;-0.8755016;4;0;0;0;0;0;0;0;0;0;0
